Bot name: SawBlaze,Minotaur
Uppercut,Gigabyte
Switchback,Gruff
Captain,Shrederator,Tombstone
Free,Shipping,Blacksmith
Pain,Train,Deep,Six
Hydra,End,Game
Deadlift,JackPot
 
Bot name: Yeti,Mad,Catter
Defender,Ribbot
HiJinx,Mammoth
Kraken,Rotator
Rusty,Blip
Tantrum,Malice
Bloodsport,Whiplash
SubZero,Shatter!
 
Bot name: HyperShock,Slammo!
Valkyrie,P1
HUGE,Riptide
Fusion,Cobalt
Black,Dragon,Icewave
Witch,Doctor,DUCK!
Copperhead,Lock-Jaw
Claw,Viper,Pardon,My,French
 
Bot name: Malice,JackPot
Ribbot,Overhaul
Blade,Skorpios
Tombstone,Mammoth
Lucky,Tantrum
Ghost,Raptor,Glitch
SawBlaze,Mad,Catter
Retrograde,Rampage
 
Bot name: Free,Shipping,Uppercut
Blacksmith,Shatter!
JÃ¤ger,P1
Hydra,Gruff
Gigabyte,Captain,Shrederator
Dragon,Slayer,DUCK!
End,Game,Witch,Doctor
Valkyrie,Triple,Crown
 
Bot name: Rotator,Black,Dragon
Lucky,Blade
Dragon,Slayer,Minotaur
Pain,Train,Yeti
HiJinx,Kraken
Defender,,Riptide
HyperShock,Lock-Jaw
Deep,Six,SMEEEEEEEEEEEEE
 
Bot name: Bloodsport,SubZero
Cobalt,Ghost,Raptor
Icewave,Deadlift
Blip,Overhaul
HUGE,Retrograde
Copperhead,Fusion
Whiplash,Skorpios
Switchback,Slammo!
 
Bot name: Malice,Blacksmith
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
End,Game,SawBlaze
TBA,TBA
 
Bot name: SubZero,HiJinx
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Yeti,Skorpios
TBA,TBA
 
Bot name: Rusty,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Main,Event,TBA
TBA,TBA
 
